"BinNo","MemberName"
"413382","YAPI KREDİ BANKASI"
"414392","YAPI KREDİ BANKASI"
"420342","YAPI KREDİ BANKASI"
"420343","YAPI KREDİ BANKASI"
"442106","YAPI KREDİ BANKASI"
"446212","YAPI KREDİ BANKASI"
"450634","YAPI KREDİ BANKASI"
"455359","YAPI KREDİ BANKASI"
"479612","YAPI KREDİ BANKASI"
"479794","YAPI KREDİ BANKASI"
"479795","YAPI KREDİ BANKASI"
"490983","YAPI KREDİ BANKASI"
"491205","YAPI KREDİ BANKASI"
"491206","YAPI KREDİ BANKASI"
"492128","YAPI KREDİ BANKASI"
"492130","YAPI KREDİ BANKASI"
"492131","YAPI KREDİ BANKASI"
"494314","YAPI KREDİ BANKASI"
"516888","YAPI KREDİ BANKASI"
"525864","YAPI KREDİ BANKASI"
"535435","YAPI KREDİ BANKASI"
"535601","YAPI KREDİ BANKASI"
"535602","YAPI KREDİ BANKASI"
"540061","YAPI KREDİ BANKASI"
"540062","YAPI KREDİ BANKASI"
"540063","YAPI KREDİ BANKASI"
"540122","YAPI KREDİ BANKASI"
"540129","YAPI KREDİ BANKASI"
"542117","YAPI KREDİ BANKASI"
"545103","YAPI KREDİ BANKASI"
"552645","YAPI KREDİ BANKASI"
"552659","YAPI KREDİ BANKASI"
"603797","YAPI KREDİ BANKASI"
"639004","YAPI KREDİ BANKASI"
"676166","YAPI KREDİ BANKASI"
"437897","CITIBANK"
"471509","CITIBANK"
"553493","CITIBANK"
"555087","CITIBANK"
"518599","TURKISH BANK"
"529939","TURKISH BANK"
"552098","TURKISH BANK"
"589288","TURKISH BANK"
"677522","TURKISH BANK"
"400684","ING BANK"
"408579","ING BANK"
"408581","ING BANK"
"414070","ING BANK"
"420322","ING BANK"
"420323","ING BANK"
"420324","ING BANK"
"455571","ING BANK"
"474823","ING BANK"
"479632","ING BANK"
"479633","ING BANK"
"480296","ING BANK"
"490805","ING BANK"
"490806","ING BANK"
"490807","ING BANK"
"490808","ING BANK"
"510151","ING BANK"
"514140","ING BANK"
"515755","ING BANK"
"515895","ING BANK"
"517946","ING BANK"
"526973","ING BANK"
"526975","ING BANK"
"532443","ING BANK"
"535137","ING BANK"
